編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
11,初科二,生成式 AI,問責,推理模型,Reasoning Models,-,FALSE,提升決策邏輯性,強化學習與思維鏈,專注於複雜邏輯推演與分步規劃，減少幻覺並提升準確度的模型。,解決數理與程式難題,高難度科學運算、邏輯證明輔助。,,,,,,,
12,"中科一

中科三",法律規管,問責,歐盟人工智慧法案,EU AI Act,-,FALSE,風險分類管理,基於風險的分級監管,全球首部綜合性 AI 法律，依風險高低（如不可接受、高風險）分級。,建立全球 AI 監管標竿,高風險領域（如金融）的 AI 審查。,,,,,,,
13,"中科一

中科三",法律規管,問責,人工智慧基本法,AI Basic Act,-,FALSE,國家級治理架構,台灣 AI 發展指引,台灣擬定之 AI 指南，強調隱私、安全與倫理，推動產業合規。,引導國內 AI 合規發展,國內公部門 AI 系統建置指引。,,,,,,,
14,中科三,AI 治理,問責,負責任的人工智慧,Responsible AI,-,FALSE,道德與法律合規,伦理框架實作,確保 AI 開發符合倫理、公平且可被究責的開發框架與實務。,降低社會與信譽風險,企業內部的 AI 開發行為準則。,,,,,,,
15,中科三,AI 治理,透明與可解釋,可解釋人工智慧,Explainable AI,XAI,FALSE,消除黑盒問題,模型解釋技術,旨在使 AI 的決策過程對人類具備可理解性與透明度的技術。,提升使用者信任度,醫療診斷解釋、信用審查說明 。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
16,中科三,XAI 技術,透明與可解釋,局部可解釋模型,Local Interpretable Model-agnostic Explanations,LIME,FALSE,解釋單一決策,局部代理模型,透過在特定預測周圍取樣來解釋個別預測結果的與模型無關技術。,釐清特定預測的原因,解釋為何某筆信用卡交易被判定為詐騙。,,,,,金融科技：信用卡盜刷風險即時偵測、異常交易攔截（核心場景）,智慧零售：電商平台異常退款/刷卡詐欺偵測,
17,中科三,XAI 技術,透明與可解釋,反事實說明,Counterfactual Explanation,-,FALSE,提供決策建議,最小特徵變更分析,說明「若特徵如何改變，則結果會變好」的解釋方式。,輔助決策與改善,告知客戶「若收入增加 5k，則貸款可通過」。,,,,,,,
18,中科一,治理實務,永續發展與福祉,監理沙盒,Regulatory Sandbox,-,FALSE,促進創新與合規,安全測試環境,在可控環境下允許業者測試創新技術，暫時豁免特定法規。,縮短產品上市時間,金融科技 AI 應用初步測試。,,,,,,,
19,中科三,治理實務,問責,人類監督模式,Human-over-the-loop,HOTL,FALSE,人類宏觀控制,系統級別監控,人類在宏觀層級監測系統，僅在系統偏離時介入。,提升自動化效率,大型自動化工廠的中央監控。,,,,,,,
20,中科三,治理實務,問責,人機共作,Human-in-the-loop,HITL,FALSE,決策最終審核,關鍵節點介入,強調在 AI 決策流程中，關鍵節點必須由人類進行最後審核 。,確保安全與人類價值,醫療手術輔助、軍事決策審核 。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
21,中科三,AI 治理,公平性,演算法偏見,Algorithmic Bias,-,FALSE,減少歧視,資料或模型偏誤修正,因訓練資料不均或設計瑕疵導致模型對特定群體產生歧視 。,確保決策公平性,招聘系統排除性別偏見 。,,,,,,,
22,初科二,資訊安全,安全性,深偽技術,Deepfake,-,FALSE,防範數位詐欺,生成對抗網絡(GAN),利用生成式 AI 偽造出極其擬真的圖像、音訊或影片的技術 。,內容創作與欺詐防範,電影特效製作、防範視訊詐騙 。,,,,,,,
23,"初科一

中科二",資料隱私,隱私保護,個人識別資訊,Personally Identifiable Information,PII,FALSE,個資保護,直接/間接識別特徵,任何可單獨或結合其他資訊識別出特定個人的資料 。,隱私合規管理,電子郵件、身分證字號管理 。,,,,,,,
24,"初科一

中科二",資料處理,隱私保護,去識別化,De-identification,-,FALSE,降低識別風險,資料轉換處理,移除或隱蔽 PII 使資料難以與特定個人關聯的過程 。,安全資料分享,醫療大數據分析前的預處理。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
25,"初科一

中科二",資料處理,隱私保護,匿名化,Anonymization,-,FALSE,永久移除關聯,不可逆資料處理,將資料處理至無法還原回個體且不可逆的程度 。,法律豁免與研究,公開資料集發布。,,,,,,,
26,"中科二

中科三",隱私技術,隱私保護,差分隱私,Differential Privacy,DP,FALSE,數學保障隱私,加入隨機雜訊,透過在查詢結果中加入雜訊，確保個別數據無法被反推出的技術。,大規模數據統計分析,人口普查數據統計。,,,,,,,
27,中科三,隱私技術,隱私保護,聯邦學習,Federated Learning,FL,FALSE,數據不動模型動,分散式本地訓練,數據保留在本地裝置，僅交換模型更新參數的分散式學習技術。,保護機敏數據隱私,跨醫院聯合同盟訓練、手機注音建議。,環境監控：跨縣市空氣品質站數據聯合訓練（各站數據不離站）,智慧耕作：跨農場病害模型協同訓練（農場資料不外傳）,自駕與輔助：跨車廠自駕數據聯合訓練（車輛感測資料隱私保護）,品質檢測：跨廠區瑕疵模型協同訓練（各廠製程機密保護）,金融科技：跨銀行聯合風控建模（客戶資料不離行）；智慧醫療：跨醫院疾病模型訓練,智慧零售：跨門市顧客行為聯合分析,公共安全：跨地方政府監控數據聯合異常偵測（資料在地保存）
28,中科三,資訊安全,安全性,零信任架構,Zero Trust Architecture,ZTA,FALSE,永不信任始終驗證,動態身分驗證,預設不信任內部外任何存取，必須經過持續驗證的資安框架。,防止內部威脅與攻擊,企業遠端辦公資安防護。,,,,,,,
29,中科三,隱私技術,隱私保護,同態加密,Homomorphic Encryption,HE,FALSE,密文運算,數學同態特性,允許在加密狀態下直接對資料進行運算，結果解密後仍正確。,雲端外包運算安全,銀行將加密數據委託雲端執行分析。,,,,,,,
30,中科三,隱私技術,隱私保護,零知識證明,Zero-Knowledge Proof,ZKP,FALSE,證明而不洩密,密碼學協議,證明者能向驗證者證明某命題正確，而不需提供命題以外資訊。,身份驗證與區塊鏈,證明已滿 18 歲而不提供具體生日。,,,,,,,
31,"初科一

中科二",大數據,永續發展與福祉,大數據,Big Data,-,FALSE,萃取數據價值,4V/5V 特性,規模龐大且多元，難以用傳統資料庫工具處理的資料集 。,洞察趨勢與預測,電商推薦系統、交通流量分析。,,,,,,,
32,中科二,資料分析,永續發展與福祉,資料科學,Data Science,DS,FALSE,從數據中獲取見解,跨領域技術結合,結合統計、演算法與領域知識，從數據中萃取價值的科學領域。,支援商業決策,金融詐欺偵測、市場趨勢預測。,,,,,金融科技：信用卡盜刷風險即時偵測、異常交易攔截（核心場景）,智慧零售：電商平台異常退款/刷卡詐欺偵測,
33,中科二,資料工程,透明與可解釋,擷取轉換載入,"Extract, Transform, Load",ETL,FALSE,數據整合,資料清洗與格式轉換,從來源擷取、清洗轉換格式後載入資料倉儲的自動化流程。,建立分析用資料庫,跨部門資料整併至數據中台。,,,,,,,
34,"初科一

中科二",資料工程,透明與可解釋,探索性資料分析,Exploratory Data Analysis,EDA,FALSE,理解數據結構,統計摘要與視覺化,在建模前透過視覺化與統計方法了解數據分佈與模式的過程 。,發現潛在特徵與異常值,繪製散佈圖找出特徵間的相關性。,環境監控：水庫水位/PM2.5感測值異常即時告警；地震前兆異常偵測,精準養殖：魚塭水質pH/溶氧異常立即警報；畜牧：體溫異常偵測,智慧交通：交通事故現場流量異常識別；物流：配送軌跡異常告警,預測性維護：機台振動/電流異常早期告警；品質：製程數據異常即時停線,金融科技：信用卡盜刷異常交易即時攔截；智慧醫療：生命徵象異常告警,智慧零售：庫存異常銷售模式偵測（搶購/假退貨）,智慧消防：感測溫度/煙霧異常即時觸發告警；公共安全：人流密度異常偵測
35,中科二,資料工程,公平性,資料標註,Data Labeling,-,FALSE,提供訓練基準,人工/自動加上標籤,為原始資料加上類別或屬性標籤（如標記貓狗圖片）的過程 。,監督式學習基礎,標註醫療影像中的腫瘤位置。,氣象預報：有標記歷史氣象數據訓練降雨預測模型,智慧耕作：標記病害影像訓練的辨識模型；畜牧：有標記生理數據訓練健康預測,智慧交通：標記交通違規影像訓練偵測模型,品質檢測：標記瑕疵影像訓練AOI分類器,金融科技：標記詐欺交易訓練風險模型；智慧醫療：標記病理影像訓練診斷模型,智慧零售：標記商品影像訓練識別模型；客服：意圖分類模型訓練,智慧消防：標記火焰/煙霧影像訓練偵測模型
36,"初科一

中科二",資料工程,安全性,資料清洗,Data Cleaning,-,FALSE,提升資料品質,異常值/雜訊處理,修正或刪除資料集中錯誤、重複、格式不一或異常數據的過程。,降低 Garbage In 影響,統一地址格式、刪除重複會員資料。,,,,,,,
37,中科三,資料工程,隱私保護,插補法,Imputation,-,FALSE,補全缺失數據,統計填補(均值/回歸),處理資料缺失值時，利用統計方法填補預測值的技術。,維持資料集完整性,用平均薪資填補未填寫的欄位。,,,,,,,
38,中科三,特徵工程,透明與可解釋,特徵工程,Feature Engineering,-,FALSE,提升模型效能,特徵選取與轉換,從原始數據中創造新特徵或篩選重要特徵以強化模型的過程 。,簡化模型複雜度,根據生日計算「年齡」作為特徵。,,,,,,,
39,"初科一

中科三",特徵工程,透明與可解釋,主成分分析,Principal Component Analysis,PCA,FALSE,資料降維,線性變換與特徵分解,透過線性變換將高維數據投射至低維空間並保留最大變異量 。,降低運算負擔、視覺化,簡化影像處理、縮減問卷題項 。,,,,,,,
40,中科三,特徵工程,公平性,標準化,Standardization,-,FALSE,統一特徵尺度,均值歸零/標準差歸一,將特徵縮放至均值 0、標準差 1 的分佈，消除量綱影響 。,提升模型收斂速度,使身高(cm)與體重(kg)具可比性。,,,,,,,
41,中科三,特徵工程,透明與可解釋,正規化,Normalization,-,FALSE,統一特徵區間,最小-最大縮放,將數據按比例縮放至特定範圍（通常是 0 到 1）的過程。,消除量綱差異,影像處理中將像素值 (0-255) 轉為 (0-1)。,,,,,,,
42,"初科一

中科三",機器學習,永續發展與福祉,監督式學習,Supervised Learning,-,FALSE,建立標記映射,標籤驅動學習,利用含有「標籤 (Label)」的訓練資料來訓練模型，使其能預測未知資料。,分類與迴歸任務,垃圾郵件偵測、房價預測。,氣象預報：有標記歷史氣象數據訓練降雨預測模型,智慧耕作：標記病害影像訓練的辨識模型；畜牧：有標記生理數據訓練健康預測,智慧交通：標記交通違規影像訓練偵測模型,品質檢測：標記瑕疵影像訓練AOI分類器,金融科技：標記詐欺交易訓練風險模型；智慧醫療：標記病理影像訓練診斷模型,智慧零售：標記商品影像訓練識別模型；客服：意圖分類模型訓練,智慧消防：標記火焰/煙霧影像訓練偵測模型
43,"初科一

中科三",機器學習,透明與可解釋,非監督式學習,Unsupervised Learning,-,FALSE,發現數據結構,特徵分佈聚類,處理不含標籤的資料，由模型自行尋找數據中的隱藏模式或結構。,分群與降維,客群分類、異常交易偵測。,氣象預報：有標記歷史氣象數據訓練降雨預測模型,智慧耕作：標記病害影像訓練的辨識模型；畜牧：有標記生理數據訓練健康預測,智慧交通：標記交通違規影像訓練偵測模型,品質檢測：標記瑕疵影像訓練AOI分類器,金融科技：標記詐欺交易訓練風險模型；智慧醫療：標記病理影像訓練診斷模型,智慧零售：標記商品影像訓練識別模型；客服：意圖分類模型訓練,智慧消防：標記火焰/煙霧影像訓練偵測模型
44,"初科一

中科三",機器學習,永續發展與福祉,強化學習,Reinforcement Learning,RL,FALSE,獲得最大累積獎勵,試錯與回饋機制,代理人在環境中透過行動獲得獎勵或懲罰，進而學習最優策略。,序列決策優化,自動駕駛控制、AlphaGo 棋藝。,環境監控：氣象感測站最優部署策略學習,智慧耕作：無人機施肥/灌溉最優決策學習,智慧交通：動態紅綠燈排程最優化；自駕公車路徑決策學習；配送路徑實時優化,製程優化：排程任務分配強化學習；機械手臂操作策略自動優化,金融科技：量化交易策略強化學習優化,智慧生活：個人化推薦動態策略強化學習,智慧消防：救災機器人路徑規劃強化學習
45,中科三,機器學習,永續發展與福祉,半監督式學習,Semi-supervised Learning,-,FALSE,利用少量標籤資料,標籤擴展技術,結合少量標籤資料與大量無標籤資料進行訓練，降低標註成本。,標註資源匱乏場景,醫療影像標記輔助。,氣象預報：有標記歷史氣象數據訓練降雨預測模型,智慧耕作：標記病害影像訓練的辨識模型；畜牧：有標記生理數據訓練健康預測,智慧交通：標記交通違規影像訓練偵測模型,品質檢測：標記瑕疵影像訓練AOI分類器,金融科技：標記詐欺交易訓練風險模型；智慧醫療：標記病理影像訓練診斷模型,智慧零售：標記商品影像訓練識別模型；客服：意圖分類模型訓練,智慧消防：標記火焰/煙霧影像訓練偵測模型
46,"初科一

中科三",機器學習,公平性,分類,Classification,-,FALSE,預測離散類別,邊界判定邏輯,預測目標屬於哪一個特定類別（如：是/否、貓/狗）。,決策分類,信用核貸審核、疾病診斷。,,,,,,,
47,"初科一

中科三",機器學習,透明與可解釋,迴歸,Regression,-,FALSE,預測連續數值,函數擬合,建立自變數與因變數之間的關係，用以預測連續性的目標值。,數值預測,股市預測、氣溫變化估計。,,,,,,,
48,"初科一

中科三",機器學習,透明與可解釋,分群,Clustering,-,FALSE,相似性分類,距離度量與聚合,將相似的數據點歸於同一組，且組間差異極大化的非監督技術。,探索數據特徵,市場區隔分析、主題模型建構。,環境監控：氣象站數據自動分群，識別異常氣候模式,精準養殖：魚群行為無標記分群辨識異常群體,智慧交通：車流模式無標記分群分析；物流路線分群優化,預測性維護：設備感測數據自動分群辨識異常型態,金融科技：異常交易模式分群偵測；醫療：病患表型分群輔助個案分析,智慧零售：顧客行為分群（RFM分析）；推薦系統用戶聚類,公共安全：人流異常聚集模式分群偵測
49,中科三,傳統 ML,透明與可解釋,決策樹,Decision Tree,DT,FALSE,生成可讀規則,遞迴式特徵分裂,模仿人類決策流程，透過樹狀結構進行特徵判斷與分類。,簡單決策分析,貸款准駁流程、初診分流。,,,,,,,
50,中科三,傳統 ML,透明與可解釋,隨機森林,Random Forest,RF,FALSE,降低預測變異,集成學習(Bagging),由多棵決策樹組成，透過多數決來提升預測準確度與穩定性。,高穩定性分類,顧客流失預測、遙測影像分類。,氣象預報：衛星雲型分類（颱風眼/積雨雲）；空污：AQI等級影像分級,智慧耕作：作物品種/生長階段自動分類；精準養殖：魚種健康狀態分級,智慧物流：快遞包裹損壞等級分類；交通違規類型自動歸類,品質檢測：瑕疵類型（裂紋/刮傷/色差）分類統計,智慧醫療：皮膚病變/眼底影像疾病分類；X光異常篩選,智慧零售：商品類別自動辨識上架；人臉年齡層分類個人化服務,公共安全：監視器可疑物品類型辨識；消防：燃料類型判斷
51,中科三,傳統 ML,安全性,支持向量機,Support Vector Machine,SVM,FALSE,尋找最大間距,超平面分割,在高維空間尋找一個能將兩類資料完美分開的最優超平面。,強健的二分類,手寫文字辨識、基因序列分析。,,,,,,,
52,中科三,模型訓練,透明與可解釋,損失函數,Loss Function,-,FALSE,衡量模型誤差,誤差計算公式,計算模型預測值與真實值之間差距的函數，指導模型優化。,模型優化指標,均方誤差 (MSE)、交叉熵 (Cross-entropy)。,,,,,,,
53,中科三,模型評估,安全性,過度擬合,Overfitting,-,FALSE,提升泛化能力,模型過於複雜,模型在訓練集表現極佳，但在測試集或新數據上表現極差。,診斷模型品質,發現模型只記住雜訊而非規律。,,,,,,,
54,中科三,模型評估,安全性,擬合不足,Underfitting,-,FALSE,強化學習能力,模型過於簡單,模型無法在訓練集上捕捉到數據的基本規律，導致效能低下。,診斷模型品質,模型無法區分數據的基本特徵。,,,,,,,
55,中科三,模型訓練,透明與可解釋,正則化,Regularization,-,FALSE,防止過度擬合,加入參數懲罰項,"在損失函數中加入處罰機制（如 L1, L2），限制模型複雜度。",提升泛化效能,避免權重值過大導致的震盪。,,,,,,,
56,中科三,模型訓練,透明與可解釋,超參數,Hyperparameter,-,FALSE,人為設定參數,外部配置參數,訓練前需手動設定的參數（如學習率、樹深度），非自動學習。,調整模型訓練過程,設定隨機森林的樹木數量。,,,,,,,
57,中科三,模型評估,問責,交叉驗證,Cross-Validation,-,FALSE,評估模型穩定性,循環劃分數據集,將數據分成多份輪流作為驗證集，確保模型效能評估客觀。,避免數據切分偏差,k-fold 交叉驗證。,,,,,,,
58,"初科一

中科三",模型指標,問責,準確度,Accuracy,-,FALSE,衡量整體對錯,正確預測比例,模型正確預測的樣本數佔總樣本數的比例。,基本效能衡量,一般均衡數據的分類評估。,,,,,,,
59,"初科一

中科三",模型指標,問責,精確率,Precision,-,FALSE,衡量預測準度,預測為正且正確,在所有預測為正類的樣本中，實際也為正類的比例。,減少偽陽性風險,癌症篩檢預測正確率。,,,,,,,
60,"初科一

中科三",模型指標,問責,召回率,Recall,-,FALSE,衡量捕捉能力,實際為正且預測,在所有實際為正類的樣本中，模型正確找出正類的比例。,減少漏報風險,信用卡詐騙偵測（不能漏抓）。,,,,,金融科技：信用卡盜刷風險即時偵測、異常交易攔截（核心場景）,智慧零售：電商平台異常退款/刷卡詐欺偵測,
61,"初科一

中科三",模型指標,問責,F1 分數,F1-Score,-,FALSE,權衡精準與召回,調和平均數,精確率與召回率的調和平均值，適合評估不平衡數據。,綜合效能評價,指標權衡時的單一分數參考。,,,,,,,
62,中科三,模型指標,透明與可解釋,混淆矩陣,Confusion Matrix,-,FALSE,分析預測誤區,分類結果對照表,展示模型預測的正/負類與實際情況交叉分布的矩陣。,診斷模型偏誤原因,分析模型是否容易將 B 誤認成 A。,,,,,,,
63,中科三,模型優化,透明與可解釋,梯度下降,Gradient Descent,-,FALSE,尋找參數最優解,沿著坡度尋找極值,透過不斷朝著梯度相反方向調整參數，使損失函數最小化。,核心訓練演算法,模型權重更新。,,,,,,,
64,中科三,模型優化,透明與可解釋,學習率,Learning Rate,-,FALSE,調整更新步長,步伐大小權重,控制梯度下降時參數更新的步長，太高會震盪，太低會太慢。,優化訓練效率,調教模型訓練速度與收斂穩定性。,,,,,,,
65,"初科二

中科一",深度學習,永續發展與福祉,遷移學習,Transfer Learning,-,FALSE,知識二次利用,預訓練模型微調,將在大型任務中學到的知識應用於新但相關的小型任務。,減少訓練資源需求,使用 ImageNet 預訓練模型來診斷特種疾病。,氣象預報：用大規模氣候模型預訓練後微調至區域降雨預測,智慧耕作：ImageNet預訓練模型微調用於特定作物病害識別,自駕與輔助：大規模道路場景預訓練模型快速遷移至特定城市場景,品質檢測：通用瑕疵檢測模型快速遷移至新產品線，降低標注成本,智慧醫療：ImageNet預訓練CNN微調用於罕見疾病影像識別,智慧零售：通用商品識別模型快速遷移至自家商品目錄,智慧消防：通用目標偵測模型遷移至火場人員定位場景
66,中科三,神經網路,永續發展與福祉,神經元,Neuron,-,FALSE,資訊處理單元,權重加總與變換,模仿生物神經元的計算單元，接收輸入、加權求和並轉化輸出。,模型運算基礎,神經網路中的節點。,,,,,,,
67,中科三,神經網路,透明與可解釋,激活函數,Activation Function,-,FALSE,引進非線性特徵,門檻判定邏輯,"決定神經元是否發射信號，為網路引入非線性（如 ReLU, Sigmoid）。",處理複雜邊界,網路層間的非線性轉換。,,,,,,,
68,中科三,神經網路,透明與可解釋,反向傳播,Backpropagation,BP,FALSE,誤差信號回傳,鏈式法則求導,根據預測誤差，由後向前計算各層梯度並更新權重的演算法。,模型學習機制,神經網路權重自動調整。,,,,,,,
69,中科三,神經網路,透明與可解釋,多層感知器,Multi-Layer Perceptron,MLP,FALSE,特徵非線性映射,全連接層堆疊,由輸入層、隱藏層及輸出層組成的基礎前饋神經網路。,基本數值分類,簡易回歸與分類任務。,,,,,,,
70,"初科二

中科一",深度學習,透明與可解釋,卷積神經網路,Convolutional Neural Network,CNN,FALSE,空間特徵特徵提取,卷積核/濾波器,透過卷積運算提取圖像的局部空間特徵（如線條、紋理）。,視覺處理,影像辨識、醫學影像分析。,氣象預報：衛星雲圖特徵提取（颱風強度分類）；空污：PM2.5影像分布分析,智慧耕作：病蟲害影像特徵提取；精準養殖：魚群行為影像分析,智慧交通：車流影像特徵分析；自駕：道路場景理解,品質檢測：產線瑕疵影像特徵萃取；AOI光學檢查核心,智慧醫療：X光/病理切片影像特徵學習；半導體：晶圓圖案識別,智慧零售：商品影像特徵作為推薦依據,智慧消防：火焰/煙霧影像特徵提取分類
71,中科一,深度學習,透明與可解釋,池化層,Pooling Layer,-,FALSE,降低維度/特徵壓縮,下採樣 (Sub-sampling),減少數據空間維度，保留重要特徵並防止過度擬合。,減少計算量,提取圖像中最強烈的信號 (Max Pooling)。,,,,,,,
72,中科一,深度學習,透明與可解釋,遞歸神經網路,Recurrent Neural Network,RNN,FALSE,處理序列資訊,時間遞歸鏈結,具備循環結構，能處理具備時間序列或上下文關係的資料。,序列數據預測,自然語言處理、語音辨識。,氣象預報：強降雨量時序預測；ConvLSTM用於雷達回波短期降雨預報,智慧耕作：作物生長週期預測；精準養殖：水質時間序列異常偵測,智慧交通：車流量小時/日週期預測；智慧物流：配送時程預估,預測性維護：機台振動/溫度時序感測，預測故障,金融科技：股票/匯率時序預測；智慧醫療：生理訊號（ECG/腦波）分析,智慧零售：商品銷售時序預測（庫存自動補貨）,智慧消防：火災蔓延時序預測；設備溫度異常趨勢告警
73,中科三,深度學習,安全性,梯度消失,Gradient Vanishing,-,FALSE,模型學習失效,梯度連乘趨近於零,在深層網路訓練中，梯度傳遞至前端時變得極小，導致無法學習。,模型診斷,分析深層網路無法收斂的原因。,,,,,,,
74,中科一,深度學習,透明與可解釋,長短期記憶網路,Long Short-Term Memory,LSTM,FALSE,捕捉長程依賴,門控機制 (Gate),透過遺忘門、輸入門、輸出門解決 RNN 梯度消失與長期記憶問題。,長序列分析,文本生成、長週期股市預測。,氣象預報：強降雨量時序預測；ConvLSTM用於雷達回波短期降雨預報,智慧耕作：作物生長週期預測；精準養殖：水質時間序列異常偵測,智慧交通：車流量小時/日週期預測；智慧物流：配送時程預估,預測性維護：機台振動/溫度時序感測，預測故障,金融科技：股票/匯率時序預測；智慧醫療：生理訊號（ECG/腦波）分析,智慧零售：商品銷售時序預測（庫存自動補貨）,智慧消防：火災蔓延時序預測；設備溫度異常趨勢告警
